dataset_name;run_id;execution_time;device;setting;accuracy;balanced_accuracy;recall_0;precision_0;recall_1;precision_1;dataset_size;abs_1;rel_1;abs_0;rel_0;active_learning_cycles;samples_per_cycle;initial_sample;active_sampling_strategy;balancing_factor;random_seed;unlabeled_samples;model_name;output_dir;batch_size;num_epochs;max_steps;sampling_strategy;num_iterations;body_learning_rate;head_learning_rate;loss;distance_metric;margin;end_to_end;use_amp;warmup_proportion;l2_weight;max_length;samples_per_label;show_progress_bar;seed;report_to;run_name;logging_dir;logging_strategy;logging_first_step;logging_steps;evaluation_strategy;eval_steps;eval_delay;eval_max_steps;save_strategy;save_steps;save_total_limit;load_best_model_at_end;metric_for_best_model;greater_is_better
french_twitter_reduced;0;34.49945664405823;cuda;random;0.617;0.619;0.303;0.826;0.935;0.570;16;9;0.56;7;0.44;3;4;balanced;random;0.0;42;40;sentence-transformers/paraphrase-multilingual-mpnet-base-v2;checkpoints;(16, 2);(1, 16);-1;oversampling;20;(2e-05, 1e-05);0.01;<class 'sentence_transformers.losses.CosineSimilarityLoss.CosineSimilarityLoss'>;<function BatchHardTripletLossDistanceFunction.cosine_distance at 0x7f8cbed9d240>;0.25;False;False;0.1;None;None;2;True;42;['tensorboard'];None;runs/Dec14_22-28-32_2f26664bd933;IntervalStrategy.STEPS;True;50;IntervalStrategy.NO;None;0;-1;steps;500;1;False;embedding_loss;False
french_twitter_reduced;1;21.16365385055542;cuda;random;0.704;0.703;0.840;0.663;0.567;0.778;16;6;0.38;10;0.62;3;4;balanced;random;0.0;42;200;sentence-transformers/paraphrase-multilingual-mpnet-base-v2;checkpoints;(16, 2);(1, 16);-1;oversampling;20;(2e-05, 1e-05);0.01;<class 'sentence_transformers.losses.CosineSimilarityLoss.CosineSimilarityLoss'>;<function BatchHardTripletLossDistanceFunction.cosine_distance at 0x7f8cbed9d240>;0.25;False;False;0.1;None;None;2;True;42;['tensorboard'];None;runs/Dec14_22-28-32_2f26664bd933;IntervalStrategy.STEPS;True;50;IntervalStrategy.NO;None;0;-1;steps;500;1;False;embedding_loss;False
french_twitter_reduced;2;52.390586376190186;cuda;max_entropy;0.632;0.630;0.921;0.586;0.340;0.809;16;6;0.38;10;0.62;3;4;balanced;max_entropy;0.0;42;40;sentence-transformers/paraphrase-multilingual-mpnet-base-v2;checkpoints;(16, 2);(1, 16);-1;oversampling;20;(2e-05, 1e-05);0.01;<class 'sentence_transformers.losses.CosineSimilarityLoss.CosineSimilarityLoss'>;<function BatchHardTripletLossDistanceFunction.cosine_distance at 0x7f8cbed9d240>;0.25;False;False;0.1;None;None;2;True;42;['tensorboard'];None;runs/Dec14_22-28-32_2f26664bd933;IntervalStrategy.STEPS;True;50;IntervalStrategy.NO;None;0;-1;steps;500;1;False;embedding_loss;False
french_twitter_reduced;3;54.64151382446289;cuda;max_entropy;0.733;0.734;0.601;0.820;0.866;0.682;16;7;0.44;9;0.56;3;4;balanced;max_entropy;0.0;42;200;sentence-transformers/paraphrase-multilingual-mpnet-base-v2;checkpoints;(16, 2);(1, 16);-1;oversampling;20;(2e-05, 1e-05);0.01;<class 'sentence_transformers.losses.CosineSimilarityLoss.CosineSimilarityLoss'>;<function BatchHardTripletLossDistanceFunction.cosine_distance at 0x7f8cbed9d240>;0.25;False;False;0.1;None;None;2;True;42;['tensorboard'];None;runs/Dec14_22-28-32_2f26664bd933;IntervalStrategy.STEPS;True;50;IntervalStrategy.NO;None;0;-1;steps;500;1;False;embedding_loss;False
french_twitter_reduced;4;52.78581738471985;cuda;max_entropy_balanced;0.641;0.639;0.923;0.592;0.355;0.819;16;6;0.38;10;0.62;3;4;balanced;max_entropy;0.25;42;40;sentence-transformers/paraphrase-multilingual-mpnet-base-v2;checkpoints;(16, 2);(1, 16);-1;oversampling;20;(2e-05, 1e-05);0.01;<class 'sentence_transformers.losses.CosineSimilarityLoss.CosineSimilarityLoss'>;<function BatchHardTripletLossDistanceFunction.cosine_distance at 0x7f8cbed9d240>;0.25;False;False;0.1;None;None;2;True;42;['tensorboard'];None;runs/Dec14_22-28-32_2f26664bd933;IntervalStrategy.STEPS;True;50;IntervalStrategy.NO;None;0;-1;steps;500;1;False;embedding_loss;False
french_twitter_reduced;5;54.53740167617798;cuda;max_entropy_balanced;0.673;0.674;0.597;0.708;0.750;0.648;16;7;0.44;9;0.56;3;4;balanced;max_entropy;0.25;42;200;sentence-transformers/paraphrase-multilingual-mpnet-base-v2;checkpoints;(16, 2);(1, 16);-1;oversampling;20;(2e-05, 1e-05);0.01;<class 'sentence_transformers.losses.CosineSimilarityLoss.CosineSimilarityLoss'>;<function BatchHardTripletLossDistanceFunction.cosine_distance at 0x7f8cbed9d240>;0.25;False;False;0.1;None;None;2;True;42;['tensorboard'];None;runs/Dec14_22-28-32_2f26664bd933;IntervalStrategy.STEPS;True;50;IntervalStrategy.NO;None;0;-1;steps;500;1;False;embedding_loss;False
french_twitter_reduced;6;23.190144777297974;cuda;random;0.724;0.724;0.598;0.802;0.850;0.676;16;8;0.50;8;0.50;3;4;balanced;random;0.0;42;40;sentence-transformers/paraphrase-multilingual-mpnet-base-v2;checkpoints;(16, 2);(1, 16);-1;oversampling;20;(2e-05, 1e-05);0.01;<class 'sentence_transformers.losses.CosineSimilarityLoss.CosineSimilarityLoss'>;<function BatchHardTripletLossDistanceFunction.cosine_distance at 0x7f8cbed9d240>;0.25;False;False;0.1;None;None;2;True;42;['tensorboard'];None;runs/Dec14_22-28-32_2f26664bd933;IntervalStrategy.STEPS;True;50;IntervalStrategy.NO;None;0;-1;steps;500;1;False;embedding_loss;False
french_twitter_reduced;7;23.10035252571106;cuda;random;0.685;0.684;0.889;0.633;0.478;0.810;16;7;0.44;9;0.56;3;4;balanced;random;0.0;42;200;sentence-transformers/paraphrase-multilingual-mpnet-base-v2;checkpoints;(16, 2);(1, 16);-1;oversampling;20;(2e-05, 1e-05);0.01;<class 'sentence_transformers.losses.CosineSimilarityLoss.CosineSimilarityLoss'>;<function BatchHardTripletLossDistanceFunction.cosine_distance at 0x7f8cbed9d240>;0.25;False;False;0.1;None;None;2;True;42;['tensorboard'];None;runs/Dec14_22-28-32_2f26664bd933;IntervalStrategy.STEPS;True;50;IntervalStrategy.NO;None;0;-1;steps;500;1;False;embedding_loss;False
french_twitter_reduced;8;56.43850612640381;cuda;max_entropy;0.694;0.694;0.742;0.680;0.646;0.712;16;8;0.50;8;0.50;3;4;balanced;max_entropy;0.0;42;40;sentence-transformers/paraphrase-multilingual-mpnet-base-v2;checkpoints;(16, 2);(1, 16);-1;oversampling;20;(2e-05, 1e-05);0.01;<class 'sentence_transformers.losses.CosineSimilarityLoss.CosineSimilarityLoss'>;<function BatchHardTripletLossDistanceFunction.cosine_distance at 0x7f8cbed9d240>;0.25;False;False;0.1;None;None;2;True;42;['tensorboard'];None;runs/Dec14_22-28-32_2f26664bd933;IntervalStrategy.STEPS;True;50;IntervalStrategy.NO;None;0;-1;steps;500;1;False;embedding_loss;False
french_twitter_reduced;9;59.838974952697754;cuda;max_entropy;0.524;0.522;0.932;0.515;0.112;0.618;16;7;0.44;9;0.56;3;4;balanced;max_entropy;0.0;42;200;sentence-transformers/paraphrase-multilingual-mpnet-base-v2;checkpoints;(16, 2);(1, 16);-1;oversampling;20;(2e-05, 1e-05);0.01;<class 'sentence_transformers.losses.CosineSimilarityLoss.CosineSimilarityLoss'>;<function BatchHardTripletLossDistanceFunction.cosine_distance at 0x7f8cbed9d240>;0.25;False;False;0.1;None;None;2;True;42;['tensorboard'];None;runs/Dec14_22-28-32_2f26664bd933;IntervalStrategy.STEPS;True;50;IntervalStrategy.NO;None;0;-1;steps;500;1;False;embedding_loss;False
